month,weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,4,1808.16,1689.2925,1653.3975,1642.1725,1717.13,1826.545,2201.0125,2890.8075,2913.3,2890.59,2709.35,2599.595,2242.485,2299.4025,2219.2275,2317.22,2421.965,2537.47,2882.2025,3332.55,3081.3675,2809.24,2415.7825,2134.5875,
10,5,1865.48,1741.605,1627.3875,1664.5525,1730.3775,1825.5825,2025.89,2461.3275,2684.7025,2828.9975,2676.86,2580.88,2309.5875,2210.99,2161.455,2130.5475,2244.19,2450.3175,2907.8875,3170.94,2938.605,2672.9,2377.8825,2131.585,
10,6,1877.23,1711.8225,1638.97,1589.69,1542.4925,1656.295,1785.7825,2004.6625,2153.6775,2286.41,2305.3525,2311.93,2176.665,2081.825,2017.6425,2000.48,1949.9975,2235.5175,2717.1475,3005.4475,2867.8325,2602.45,2276.1625,1979.7925,
11,0,1635.37,1548.505,1519.6075,1539.37,1688.215,1815.1675,2170.575,2589.635,2631.3525,2555.7375,2506.13,2595.3775,2182.385,2243.09,2421.1075,2520.58,2713.9725,3001.8875,3035.555,2956.535,2768.47,2523.4275,2196.345,1926.425,
11,1,1704.96,1592.0475,1555.0875,1604.155,1648.67,1817.645,2228.0675,2684.095,2734.0475,2645.945,2481.445,2396.235,1935.425,1986.64,2215.2775,2477.805,2761.0875,3092.75,3083.4575,2994.9825,2813.1175,2570.24,2215.355,1945.305,
11,2,1714.0725,1587.1725,1541.015,1617.22,1718.11,1834.5625,2104.2125,2531.7075,2587.0475,2414.495,2351.695,2355.5225,1877.14,1936.565,2196.26,2347.1775,2655.54,3025.6575,3034.935,2965.8625,2783.6275,2513.73,2176.56,1922.59,
11,3,1691.62,1568.11,1564.1075,1591.47,1571.0825,1677.28,2016.0575,2463.7225,2627.54,2425.7525,2288.7775,2281.72,1879.1325,2001.1175,2288.88,2471.815,2768.95,3059.1,3095.9525,2995.8825,2777.975,2587.865,2218.4725,1961.36,
11,4,1741.064,1614.776,1570.146,1591.846,1675.408,1778.208,2111.326,2475.228,2661.872,2691.822,2610.334,2540.368,2179.11,2214.166,2310.912,2437.844,2679.368,3048.126,3047.176,3002.618,2795.62,2579.034,2262.904,2013.98,
11,5,1785.404,1655.43,1602.22,1653.322,1723.354,1813.158,2023.852,2306.456,2561.828,2667.524,2742.428,2735.642,2364.884,2313.438,2358.974,2347.35,2568.526,3066.848,3144.542,2969.934,2737.062,2501.496,2244.34,2036.114,
11,6,1766.8375,1647.4,1567.7,1568.445,1564.0675,1623.81,1760.4475,1803.7525,1958.1075,2123.79,2177.6325,2201.7725,2060.93,1975.5125,1868.225,1883.575,2021.2525,2572.77,2772.6025,2723.515,2631.9525,2411.575,2125.3325,1838.23,
12,0,1911.116,1792.644,1727.322,1736.518,1851.052,1948.938,2310.772,2883.382,2876.756,2912.584,2776.836,2619.806,2262.318,2289.48,2459.362,2627.724,2915.36,3374.876,3315.718,3377.216,3215.434,2955.616,2577.278,2258.592,
12,1,2012.85,1852.6,1787.246,1780.128,1886.466,1978.334,2288.634,2821.836,2799.694,2846.948,2713.156,2630.212,2259.244,2205.94,2342.378,2587.702,2934.71,3414.122,3385.098,3430.326,3159.69,2936.816,2653.86,2359.37,
12,2,1960.255,1803.05,1736.8975,1732.98,1819.5825,1889.95,2197.98,2675.92,2727.2125,2704.1,2535.6925,2565.525,2184.4725,2165.3375,2284.565,2487.7775,2806.745,3194.73,3227.79,3227.1175,3070.785,2809.865,2503.135,2157.8725,
12,3,1920.435,1777.915,1746.4075,1735.7275,1760.065,1866.995,2208.3025,2669.765,2742.9875,2777.905,2718.0,2788.38,2403.8275,2419.0,2490.655,2605.1275,2912.7675,3228.1025,3286.81,3247.0525,3092.785,2858.4075,2538.955,2231.795,
12,4,1955.33,1820.255,1763.1975,1755.23,1860.4575,1945.36,2263.2275,2879.75,2919.855,2943.3325,2850.22,2836.97,2334.3225,2427.6625,2528.765,2696.115,3012.105,3478.7525,3466.6625,3482.49,3268.775,3007.2225,2653.485,2357.4475,
12,5,2077.765,1885.755,1813.57,1795.845,1902.9225,1936.61,2109.37,2552.1225,2820.6925,2944.415,2835.015,2746.435,2443.9725,2426.3175,2498.4325,2534.8025,2847.8275,3461.2525,3539.4075,3461.97,3250.9875,3004.3625,2680.49,2388.015,
12,6,2060.428,1880.82,1770.52,1759.372,1747.952,1806.716,1964.984,2143.818,2271.764,2401.51,2439.638,2412.828,2300.642,2219.56,2180.864,2225.65,2484.77,3031.184,3197.698,3205.652,3069.352,2848.582,2521.064,2188.284,
